TAXON_ORDER,CATEGORY,SPECIES_CODE,SCI_NAME,PRIMARY_COM_NAME,en_IOC,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS,code,mass,masscomm
390,species,ambduc,Anas rubripes,American Black Duck,American Black Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,1200,NA
396,species,mallar,Anas platyrhynchos,Mallard,Mallard/Mexican Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,1100,NA
409,species,motduc,Anas fulvigula,Mottled Duck,Mottled Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,1000,NA
417,species,spbduc,Anas zonorhyncha,Eastern Spot-billed Duck,Eastern Spot-billed Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,4,NA,NA
423,species,buwtea,Anas discors,Blue-winged Teal,Blue-winged Teal,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,380,NA
426,species,cintea,Anas cyanoptera,Cinnamon Teal,Cinnamon Teal,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,400,NA
439,species,norsho,Anas clypeata,Northern Shoveler,Northern Shoveler,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,610,NA
440,species,whcpin,Anas bahamensis,White-cheeked Pintail,White-cheeked Pintail,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,4,499,NA
446,species,norpin,Anas acuta,Northern Pintail,Northern Pintail,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,800,NA
460,species,gargan,Anas querquedula,Garganey,Garganey,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,4,375,NA
461,species,baitea,Anas formosa,Baikal Teal,Baikal Teal,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,4,439,NA
462,species,gnwtea,Anas crecca,Green-winged Teal,Eurasian/Green-winged Teal,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,350,NA
486,spuh,teal,Anas sp. (teal sp.),teal sp.,teal sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,350,Using mass for GWTE
487,spuh,dabduc1,Anas sp.,dabbling duck sp.,dabbling duck sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,800,Using mass for NOPI
496,species,canvas,Aythya valisineria,Canvasback,Canvasback,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,1220,NA
497,species,redhea,Aythya americana,Redhead,Redhead,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,1050,NA
498,species,compoc,Aythya ferina,Common Pochard,Common Pochard,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,3,907,NA
499,species,rinduc,Aythya collaris,Ring-necked Duck,Ring-necked Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,700,NA
506,species,tufduc,Aythya fuligula,Tufted Duck,Tufted Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,3,740,NA
508,species,gresca,Aythya marila,Greater Scaup,Greater Scaup,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,1050,NA
511,species,lessca,Aythya affinis,Lesser Scaup,Lesser Scaup,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,830,NA
